"","stripped_cell_line_name","CCLE_Name","alias","COSMIC_ID","lineage","lineage_subtype","lineage_sub_subtype","lineage_molecular_subtype","sex","source","Achilles_n_replicates","cell_line_NNMD","culture_type","culture_medium","cas9_activity","RRID","sample_collection_site","primary_or_metastasis","disease","disease_subtype","age","Sanger_model_ID","additional_info","ISG.score"
"ACH-001569","MM415","MM415_SKIN","",NA,"skin","melanoma","","","Male","Sigma-Aldrich",NA,NA,"","","","CVCL_2608","lymph_node","Metastasis","Skin Cancer","Melanoma",NA,"","",NA
"ACH-001570","MM426","MM426_SKIN","",NA,"skin","melanoma","","","Male","Sigma-Aldrich",2,-4.097916348,"Adherent","RPMI 1640 (with 2 mM L-Glutamine + 25 mM HEPES) + 10% fetal bovine serum (FBS).","44.5","CVCL_2609","lymph_node","Metastasis","Skin Cancer","Melanoma",NA,"","",3.93192105263158
"ACH-001573","MOLM1","MOLM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",NA,"blood","CML","","","Male","DSMZ",NA,NA,"","","","","bone_marrow","Metastasis","Leukemia","Chronic Myelogenous Leukemia (CML)",41,"","",NA
"ACH-001578","NCCIT","NCCIT_TESTIS","",908441,"embryo","embryo_carcinoma","","","Male","ATCC",NA,NA,"","","","CVCL_1451","lung","Primary","Embryonal Cancer","Carcinoma",NA,"SIDM00655","",NA
"ACH-001591","NCIH1417","NCIH1417_LUNG","H1417",688001,"lung","SCLC","","","Female","ATCC",NA,NA,"","","","","lung","Primary","Lung Cancer","Small Cell Lung Cancer (SCLC)",61,"SIDM00642","",NA
"ACH-001599","NCIH64","NCIH64_LUNG","H64",688026,"lung","SCLC","","","Female","ATCC",NA,NA,"","","","CVCL_1573","lymph_node","Metastasis","Lung Cancer","Small Cell Lung Cancer (SCLC)",48,"SIDM01126","",NA
"ACH-001603","NH12","NH12_AUTONOMIC_GANGLIA","",908447,"peripheral_nervous_system","neuroblastoma","","","Male","JCRB",NA,NA,"","","","CVCL_1605","autonomic_ganglia","Primary","Neuroblastoma","",1,"SIDM00577","",NA
"ACH-001605","NO10","NO10_CENTRAL_NERVOUS_SYSTEM","ONDA10",908452,"central_nervous_system","glioma","glioblastoma","","Male","JCRB",NA,NA,"","","","CVCL_3075","central_nervous_system","Primary","Brain Cancer","Glioblastoma",62,"SIDM00574","",NA
"ACH-001606","NO11","NO11_CENTRAL_NERVOUS_SYSTEM","ONDA11",908450,"central_nervous_system","glioma","glioblastoma","","Female","JCRB",NA,NA,"","","","CVCL_3076","central_nervous_system","Primary","Brain Cancer","Glioblastoma",64,"SIDM00573","",NA
"ACH-001607","NOZ","NOZ_LIVER","",NA,"bile_duct","gallbladder_adenocarcinoma","","","Female","JCRB",2,-3.6330456,"Adherent","Williams'E medium + 10% FBS","4.3","CVCL_3079","ascites","Metastasis","Gallbladder Cancer","Adenocarcinoma",48,"","",3.44660526315789
"ACH-001608","NP2","NP2_CENTRAL_NERVOUS_SYSTEM","",NA,"central_nervous_system","glioma","glioblastoma","","Male","JCRB",2,-4.413206722,"Adherent","DMEM + 10% FBS","11.1","","central_nervous_system","Primary","Brain Cancer","Glioblastoma",63,"","",NA
"ACH-001609","NP3","NP3_CENTRAL_NERVOUS_SYSTEM","",NA,"central_nervous_system","glioma","glioblastoma","","Male","JCRB",2,-4.092584753,"Adherent","DMEM + 10% FBS","16","","central_nervous_system","Primary","Brain Cancer","Glioblastoma",64,"","",NA
"ACH-001610","NP5","NP5_CENTRAL_NERVOUS_SYSTEM","",NA,"central_nervous_system","glioma","glioblastoma","","Male","JCRB",2,-2.173801757,"Adherent","DMEM; 10% FBS","26.4","CVCL_1R17","central_nervous_system","Primary","Brain Cancer","Glioblastoma",27,"","",2.84257894736842
"ACH-001611","NP8","NP8_CENTRAL_NERVOUS_SYSTEM","",NA,"central_nervous_system","glioma","glioblastoma","","Female","JCRB",1,-3.706915399,"Adherent","DMEM; 10% FBS","45.6","CVCL_4W66","central_nervous_system","Primary","Brain Cancer","Glioblastoma",38,"","",3.54547368421053
"ACH-001617","OCILY7","OCILY7_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",1659819,"lymphocyte","non_hodgkin_lymphoma","DLBCL","","Male","DSMZ",NA,NA,"","","","","haematopoietic_and_lymphoid_tissue","Primary","Lymphoma","Diffuse Large B-cell Lymphoma (DLBCL)",48,"SIDM00459","",NA
"ACH-001618","OCIM2","OCIM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",NA,"blood","AML","","","Unknown","DSMZ",2,-3.179633309,"","","15.2","","haematopoietic_and_lymphoid_tissue","Primary","Leukemia","Acute Myelogenous Leukemia (AML)",56,"","",3.75581578947368
"ACH-001619","OCUG1","OCUG1_BILIARY_TRACT","",NA,"bile_duct","gallbladder_adenocarcinoma","","","Male","JCRB",2,-2.386810827,"Adherent","DMEM + 10% FBS + 0.5mM pyruvate, 2mM glutamine","20.9","","ascites","Metastasis","Gallbladder Cancer","Adenocarcinoma",43,"","",2.90168421052632
"ACH-001622","ONDA7","ONDA7_CENTRAL_NERVOUS_SYSTEM","",NA,"central_nervous_system","glioma","glioblastoma","","Male","JCRB",1,-4.687948544,"Adherent","IMDM + 10-20% FBS","34","","central_nervous_system","Primary","Brain Cancer","Glioblastoma",51,"","",NA
"ACH-001624","ONDA9","ONDA9_CENTRAL_NERVOUS_SYSTEM","",NA,"central_nervous_system","glioma","glioblastoma","","Male","JCRB",2,-2.19836738,"Adherent","DMEM; 10% FBS","23","CVCL_1R14","central_nervous_system","Primary","Brain Cancer","Glioblastoma",58,"","",3.02821052631579
"ACH-001625","OSC19","OSC19_UPPER_AERODIGESTIVE_TRACT","",1298362,"upper_aerodigestive","upper_aerodigestive_squamous","","","Male","JCRB",NA,NA,"","","","CVCL_3086","lymph_node","Metastasis","Head and Neck Cancer","Squamous Cell Carcinoma",61,"SIDM00566","",NA
"ACH-001626","OSC20","OSC20_UPPER_AERODIGESTIVE_TRACT","",1240196,"upper_aerodigestive","upper_aerodigestive_squamous","","","Female","JCRB",NA,NA,"","","","CVCL_3087","lymph_node","Metastasis","Head and Neck Cancer","Squamous Cell Carcinoma",59,"SIDM00565","",NA
"ACH-001628","PEA1","PEA1_OVARY","",NA,"ovary","ovary_adenocarcinoma","","","Female","Sigma-Aldrich",2,-2.469182563,"Adherent","RPMI 1640; 10% FBS; Gut; Na Pyruvate","20.8","CVCL_2682","pleural_effusion","Metastasis","Ovarian Cancer","Cystadenocarcinoma",NA,"","",3.40428947368421
"ACH-001630","PEO1","PEO1_OVARY","",1480372,"ovary","ovary_adenocarcinoma","","","Female","Sigma-Aldrich",2,-1.957291774,"Adherent","RPMI-1640; 10% FBS; 1% Glutamine; 1% Na Pyruvate","12.8","CVCL_2686","ascites","Metastasis","Ovarian Cancer","Cystadenocarcinoma",NA,"SIDM00472","",NA
"ACH-001632","PEO4","PEO4_OVARY","",NA,"ovary","ovary_adenocarcinoma","","","Female","Sigma-Aldrich",NA,NA,"","","","CVCL_2690","ascites","Metastasis","Ovarian Cancer","Cystadenocarcinoma",NA,"SIDM00471","",NA
"ACH-001634","PGA1","PGA1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",NA,"blood","CLL","b_cell","","Male","DSMZ",NA,NA,"","","","","haematopoietic_and_lymphoid_tissue","Primary","Leukemia","Chronic Lymphoblastic Leukemia (CLL), B-cell",NA,"","",4.72263157894737
"ACH-001638","RCK8","RCK8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",1330995,"lymphocyte","lymphoma_unspecified","b_cell","","Male","DSMZ",NA,NA,"","","","CVCL_1883","ascites","Primary","Lymphoma","B-cell",NA,"SIDM00448","",5.39252631578947
"ACH-001639","ROS50","ROS50_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",1331025,"blood","ALL","b_cell","","Male","DSMZ",NA,NA,"","","","CVCL_1887","haematopoietic_and_lymphoid_tissue","Primary","Leukemia","Acute Lymphoblastic Leukemia (ALL), B-cell",69,"SIDM00415","",NA
"ACH-001641","SAT","SAT_UPPER_AERODIGESTIVE_TRACT","",1299050,"upper_aerodigestive","upper_aerodigestive_squamous","","","Unknown","JCRB",NA,NA,"","","","","upper_aerodigestive_tract","Primary","Head and Neck Cancer","Squamous Cell Carcinoma",NA,"SIDM00350","",NA
"ACH-001642","SCC3","SCC3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",910930,"lymphocyte","non_hodgkin_lymphoma","b_cell","","Female","JCRB",NA,NA,"","","","CVCL_1683","pleural_effusion","Primary","Lymphoma","B-cell, Non-Hodgkins",20,"SIDM00384","",2.64068421052632
"ACH-001645","SEKI","SEKI_SKIN","",NA,"skin","melanoma","","","Female","JCRB",2,-3.041860366,"Suspension","R20","27.5","","skin","Primary","Skin Cancer","Melanoma",28,"","",2.2815
"ACH-001647","SHI1","SHI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",NA,"blood","AML","","","Male","DSMZ",2,-3.616773572,"","","35.9","","bone_marrow","Metastasis","Leukemia","Acute Myelogenous Leukemia (AML)",37,"","",3.28431578947368
"ACH-001650","SISO","SISO_CERVIX","",1240212,"cervix","cervical_adenocarcinoma","","","Female","DSMZ",3,-4.464883151,"Adherent","90% RPMI 1640 + 10% h.i. FBS","9.4","","cervix","Primary","Cervical Cancer","Cervical Adenocarcinoma",67,"SIDM00394","",2.69207894736842
"ACH-001651","SKGI","SKGI_ENDOMETRIUM","",NA,"uterus","endometrial_squamous","","","Female","JCRB",2,-2.872303935,"","","6.1","","endometrium","Primary","Endometrial/Uterine Cancer","Endometrial Squamous Cell Carcinoma",NA,"","",3.05489473684211
"ACH-001652","SKGII","SKGII_ENDOMETRIUM","",NA,"uterus","endometrial_squamous","","","Female","JCRB",2,-4.652397407,"Adherent","Ham's F12 + 10% FBS","8.3","","endometrium","Primary","Endometrial/Uterine Cancer","Endometrial Squamous Cell Carcinoma",NA,"","",NA
"ACH-001653","SKGT2","SKGT2_STOMACH","",1503364,"gastric","gastric_adenocarcinoma","","","Male","Sigma-Aldrich",2,-4.753841966,"Adherent","RPMI-1640 + 2mM Glutamine + 10% Foetal Bovine Serum (FBS)","8.8","","stomach","Primary","Gastric Cancer","Adenocarcinoma",72,"SIDM00393","",2.97442105263158
"ACH-001654","SKGT4","SKGT4_OESOPHAGUS","",1503365,"esophagus","esophagus_adenocarcinoma","","","Male","Sigma-Aldrich",2,-4.126468453,"Adherent","RPMI-1640 + 2mM Glutamine + 10% Foetal Bovine Serum (FBS)","11.6","","oesophagus","Primary","Esophageal Cancer","Adenocarcinoma",NA,"SIDM00483","",3.03484210526316
"ACH-001655","SKN","SKN_ENDOMETRIUM","",1240215,"uterus","endometrial_squamous","","","Female","JCRB",2,-2.578846615,"Adherent","Ham's F12; 10% FBS","46","","endometrium","Primary","Endometrial/Uterine Cancer","Endometrial Squamous Cell Carcinoma",52,"SIDM00377","",NA
"ACH-001656","SKNO1","SKNO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",NA,"blood","AML","","","Male","Academic lab",NA,NA,"","","","","bone_marrow","Metastasis","Leukemia","Acute Myelogenous Leukemia (AML)",NA,"","",3.04115789473684
"ACH-001664","SNU638","SNU638_STOMACH","",NA,"gastric","gastric_adenocarcinoma","","","Male","KCLB",2,-5.424880335,"Adherent","RPMI 1640 + 10% FBS with L-glutamine (300mg/L), 25mM HEPES and 25mM NaHCO3; Penicillin-streptomycin were added to culture media (final concentration, 100 U/mL)","3.9","","ascites","Metastasis","Gastric Cancer","Adenocarcinoma",48,"","",3.43192105263158
"ACH-001668","SUSA","SUSA_TESTIS","",NA,"embryo","teratoma","testicular","","Male","DSMZ",1,-1.73354258,"Adherent","RPMI 1640 + 20% FBS","8.5","","Embryonal","Primary","Teratoma","Testicular",30,"","",1.68318421052632
"ACH-001670","TASK1","TASK1_CENTRAL_NERVOUS_SYSTEM","",NA,"peripheral_nervous_system","PNET","","","Female","JCRB",NA,NA,"","","","CVCL_3177","central_nervous_system","Primary","Brain Cancer","Primitive Neuroectodermal Tumor (PNET)",21,"SIDM00026","",NA
"ACH-001673","TFK1","TFK1_BILIARY_TRACT","",NA,"bile_duct","cholangiocarcinoma","extrahepatic","","Male","DSMZ",2,-5.46129153,"Adherent","90% RPMI 1640 + 10% h.i. FBS","9.1","CVCL_2214","biliary_tract","Primary","Bile Duct Cancer","Cholangiocarcinoma, extrahepatic",63,"","",4.49407894736842
"ACH-001674","TGW","TGW_AUTONOMIC_GANGLIA","",910780,"peripheral_nervous_system","neuroblastoma","","","Male","JCRB",2,-4.301909853,"Adherent","EMEM + 10% FBS","10.6","CVCL_1771","autonomic_ganglia","Primary","Neuroblastoma","",NA,"SIDM00324","",1.27313157894737
"ACH-001677","U2904","U2904_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",NA,"lymphocyte","lymphoma_unspecified","b_cell","","Male","DSMZ",2,-2.135224139,"","","44.1","CVCL_X504","pleural_effusion","Primary","Lymphoma","B-cell",59,"","",3.35565789473684
"ACH-001680","U698M","U698M_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",909777,"lymphocyte","non_hodgkin_lymphoma","lymphoblastic_lymphoma","","Male","DSMZ",NA,NA,"","","","CVCL_0017","upper_aerodigestive_tract","Metastasis","Lymphoma","Lymphoblastic Lymphoma",7,"SIDM00424","",NA
"ACH-001685","UHO1","UHO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",NA,"lymphocyte","hodgkin_lymphoma","","","Male","DSMZ",1,-3.252044475,"Suspension","IMDM:RPMI 1640 (at 4:1) + 20% FBS, 2 mM L-glutamine","20","","pleural_effusion","Primary","Lymphoma","Hodgkins",23,"","",NA
"ACH-001690","UPCISCC026","UPCISCC026_UPPER_AERODIGESTIVE_TRACT","",NA,"upper_aerodigestive","upper_aerodigestive_squamous","","","Female","DSMZ",NA,NA,"","","","","upper_aerodigestive_tract","Primary","Head and Neck Cancer","Squamous Cell Carcinoma",82,"","",NA
"ACH-001702","VAESBJ","VAESBJ_SOFT_TISSUE","",688121,"soft_tissue","epithelioid_sarcoma","","","Male","ATCC",2,-3.179925723,"Adherent","DMEM + 10% FBS + 4.5 g/L glucose and 0.1 mM non-essential amino acids","5.9","CVCL_1785","bone_marrow","Metastasis","Sarcoma","Epithelioid",41,"SIDM01179","",2.66068421052632
"ACH-001703","VAL","VAL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",1331048,"lymphocyte","non_hodgkin_lymphoma","DLBCL","","Female","DSMZ",NA,NA,"","","","CVCL_1819","bone_marrow","Metastasis","Lymphoma","Diffuse Large B-cell Lymphoma (DLBCL)",50,"SIDM00416","",NA
"ACH-001704","VMRCMELG","VMRCMELG_SKIN","",930301,"skin","melanoma","","","Male","JCRB",NA,NA,"","","","CVCL_1789","Colon","Primary","Skin Cancer","Melanoma",NA,"SIDM00319","",NA
"ACH-001709","WSUNHL","WSUNHL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",909785,"lymphocyte","lymphoma_unspecified","b_cell","","Female","DSMZ",NA,NA,"","","","CVCL_1793","pleural_effusion","Primary","Lymphoma","B-cell",46,"SIDM00412","",NA
"ACH-001711","PFSK1","PFSK1_CENTRAL_NERVOUS_SYSTEM","",683667,"central_nervous_system","PNET","","","Male","ATCC",2,-1.758926526,"Adherent","RPMI 1640 + 10% FBS","52.4","CVCL_1642","central_nervous_system","Primary","Brain Cancer","Primitive Neuroectodermal Tumor (PNET)",2,"SIDM01132","",2.23178947368421
"ACH-001715","CAL72","CAL72_BONE","",906827,"bone","osteosarcoma","","","Male","DSMZ",2,-2.923916005,"Adherent","DMEM + 10% FBS + 2 mM L-glutamine + 1x insulin-transferrin-sodium selenite","43.2","CVCL_1113","bone","","Bone Cancer","Osteosarcoma",10,"SIDM00930","",3.07636842105263
"ACH-001716","GOTO","GOTO_AUTONOMIC_GANGLIA","",906875,"peripheral_nervous_system","neuroblastoma","","","Male","JCRB",NA,NA,"","","","CVCL_1234","autonomic_ganglia","","Neuroblastoma","",NA,"SIDM00544","",NA
"ACH-001735","SEMK2","SEMK2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",NA,"blood","ALL","b_cell","","Female","Academic lab",2,-3.167492954,"Suspension","RPMI; 10% FBS","29.3","CVCL_S906","haematopoietic_and_lymphoid_tissue","","Leukemia","Acute Lymphoblastic Leukemia (ALL), B-cell",5,"","",3.59478947368421
"ACH-001736","HB1119","HB1119_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",NA,"blood","ALL","b_cell","","Unknown","Academic lab",2,-4.774629899,"Suspension","RPMI; 10% FBS","9.3","","haematopoietic_and_lymphoid_tissue","","Leukemia","Acute Lymphoblastic Leukemia (ALL), B-cell",NA,"","",3.50942105263158
"ACH-001737","HSB2","HSB2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",NA,"blood","ALL","t_cell","","Unknown","Academic lab",1,-1.629367606,"Suspension","RPMI-1640; 10%FBS","32.9","CVCL_1859","haematopoietic_and_lymphoid_tissue","","Leukemia","Acute Lymphoblastic Leukemia (ALL), T-cell",11,"","",3.60463157894737
"ACH-001738","CCRFCEM","CCRFCEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",905952,"blood","ALL","t_cell","","Female","Academic lab",NA,NA,"","","","CVCL_0207","haematopoietic_and_lymphoid_tissue","","Leukemia","Acute Lymphoblastic Leukemia (ALL), T-cell",NA,"SIDM00121","",NA
"ACH-001740","RH28","RH28_SOFT_TISSUE","",NA,"soft_tissue","rhabdomyosarcoma","alveolar","","Male","Academic lab",3,-3.49944858,"Adherent","D10","60.8","CVCL_8752","lymph_node","Metastasis","Sarcoma","Rhabdomyosarcoma, alveolar",17,"","",1.77723684210526
"ACH-001741","RMS13","RMS13_SOFT_TISSUE","",NA,"soft_tissue","rhabdomyosarcoma","alveolar","","Unknown","Academic lab",NA,NA,"","","","","soft_tissue","","Sarcoma","Rhabdomyosarcoma, alveolar",NA,"","",1.60689473684211
"ACH-001743","RC2","RC2_SOFT_TISSUE","",NA,"soft_tissue","rhabdomyosarcoma","alveolar","PAX3_FKHR","Unknown","Academic lab",NA,NA,"","","","","soft_tissue","Metastasis","Sarcoma","Rhabdomyosarcoma, alveolar",NA,"","",1.92197368421053
"ACH-001745","RHJT","RHJT_SOFT_TISSUE","",NA,"soft_tissue","rhabdomyosarcoma","alveolar","","Unknown","Academic lab",3,-4.10122458,"Adherent","DMEM 10% FBS","64.4","","soft_tissue","","Sarcoma","Rhabdomyosarcoma, alveolar",NA,"","",1.524
"ACH-001750","TTC442","TTC442_SOFT_TISSUE","",NA,"soft_tissue","rhabdomyosarcoma","embryonal","","Male","Academic lab",2,-3.940111865,"Adherent","D10","41.7","","soft_tissue","","Sarcoma","Rhabdomyosarcoma, embryonal",NA,"","",4.20652631578947
"ACH-001751","RH36","RH36_SOFT_TISSUE","",NA,"soft_tissue","rhabdomyosarcoma","embryonal","","Male","Academic lab",NA,NA,"","","","CVCL_M599","soft_tissue","","Sarcoma","Rhabdomyosarcoma, embryonal",15,"","",1.69886842105263
"ACH-001765","RH4","RH4_SOFT_TISSUE","",NA,"soft_tissue","rhabdomyosarcoma","alveolar","","Female","Academic lab",3,-4.488409689,"Adherent","DMEM 10% FBS","27.4","CVCL_5916","liver","Metastasis","Sarcoma","Rhabdomyosarcoma, alveolar",NA,"","",1.34481578947368
"ACH-001767","CCLFPEDS0018T","CCLFPEDS0018T_SOFT_TISSUE","",NA,"fibroblast","fibroblast_soft_tissue","alveolar","","Unknown","",NA,NA,"","","","","fibroblast","","Fibroblast","Soft tissue",NA,"","",NA
"ACH-001786","SNU1544","SNU1544_LARGE_INTESTINE","",NA,"colorectal","colorectal_adenocarcinoma","","","Female","KCLB",2,-2.320808748,"Adherent","RPMI 1640 + 10% FBS with L-glutamine (300mg/L), 25mM HEPES and 25mM NaHCO3; Penicillin-streptomycin were added to culture media (final concentration, 100 U/mL)","38","","large_intestine","Primary","Colon/Colorectal Cancer","Adenocarcinoma",38,"","",NA
"ACH-001790","RH18DM","RH18DM_SOFT_TISSUE","",NA,"soft_tissue","rhabdomyosarcoma","embryonal","","Unknown","Academic lab",2,-1.310420583,"Adherent","RPMI-1640: 20% FBS","32.9","","soft_tissue","","Sarcoma","Rhabdomyosarcoma, embryonal",2,"","",2.40610526315789
"ACH-001791","LPS6","LPS6_SOFT_TISSUE","",NA,"soft_tissue","liposarcoma","","","Unknown","Academic lab",2,-3.084922474,"Adherent","DMEM:F12 + 10% FBS + 1% Glutamax + 1% PenStrep","31.4","","soft_tissue","","Liposarcoma","",NA,"","",1.65734210526316
"ACH-001793","LPS27","LPS27_SOFT_TISSUE","",NA,"soft_tissue","liposarcoma","","","Unknown","Academic lab",2,-4.006187516,"Adherent","DMEM:F12 + 10% FBS + 1% Glutamax + 1% PenStrep","51.7","","soft_tissue","","Liposarcoma","",NA,"","",6.32713157894737
"ACH-001794","93T449","93T449_SOFT_TISSUE","",NA,"soft_tissue","liposarcoma","WDLPS","","Unknown","Academic lab",2,-4.570663505,"Adherent","RPMI 1640 + 10% FBS + 1% PenStrep","5.3","","soft_tissue","Primary","Liposarcoma","WDLPS",NA,"","",5.09534210526316
"ACH-001795","94T778","94T778_SOFT_TISSUE","",NA,"soft_tissue","liposarcoma","WDLPS","","Female","Academic lab",2,-5.084118912,"Adherent","RPMI 1640 + 10% FBS + 1% PenStrep","11","","soft_tissue","","Liposarcoma","WDLPS",NA,"","",5.88065789473684
"ACH-001796","95T1000","95T1000_SOFT_TISSUE","",NA,"soft_tissue","liposarcoma","WDLPS","","Unknown","Academic lab",2,-3.400558199,"Adherent","RPMI 1640 + 10% FBS + 1% PenStrep","19.7","","soft_tissue","","Liposarcoma","WDLPS",NA,"","",2.13673684210526
"ACH-001799","LPS141","LPS141_SOFT_TISSUE","",NA,"soft_tissue","liposarcoma","DDLPS","","Unknown","Academic lab",1,-3.685730561,"Adherent","RPMI 1640 + 15% FBS + 1% L-Glutamine + 1% Pen-Strep-Ampho","12","","soft_tissue","","Liposarcoma","DDLPS",NA,"","",3.08442105263158
"ACH-001804","LPS510","LPS510_SOFT_TISSUE","",NA,"soft_tissue","liposarcoma","WD_DDPLS","","Unknown","Academic lab",1,-2.624699879,"Suspension","IMDM + 15% FBS + 1% L-Glutamine + 1% Pen-Strep-Ampho","17","","soft_tissue","","Liposarcoma","WD/DDLPS",NA,"","",2.55855263157895
"ACH-001814","OS252","OS252_BONE","",NA,"bone","osteosarcoma","","","Unknown","Academic lab",2,-2.174670889,"Adherent","EMEM + 20% FBS + 1% Na-Pyruvate + 1% NEAA","33.4","CVCL_WU66","bone","Primary","Bone Cancer","Osteosarcoma",NA,"","",3.10807894736842
"ACH-001818","C396","C396_BONE","",NA,"bone","osteosarcoma","","","Unknown","Academic lab",NA,NA,"","","","","bone","Metastasis","Bone Cancer","Osteosarcoma",NA,"","",2.70544736842105
"ACH-001819","MFM223","MFM223_BREAST","",NA,"breast","breast_ductal_carcinoma","ERneg_HER2neg","luminal","Female","DSMZ",NA,NA,"","","","CVCL_1408","pleural_effusion","Metastasis","Breast Cancer","Breast Ductal Carcinoma",NA,"SIDM00332","",2.459
"ACH-001820","COLO824","COLO824_BREAST","",NA,"breast","","","","Female","DSMZ",NA,NA,"","","","CVCL_1136","pleural_effusion","Metastasis","Breast Cancer","",NA,"SIDM00954","",NA
"ACH-001825","SW527","SW527_LARGE_INTESTINE","",NA,"colorectal","colorectal_adenocarcinoma","","","Unknown","",NA,NA,"","","","","large_intestine","","Colon/Colorectal Cancer","Adenocarcinoma",NA,"","",NA
"ACH-001827","184B5","184B5_BREAST","HMEC-184B5",NA,"engineered","","","","Unknown","",NA,NA,"","","","","breast","Primary","Non-Cancerous","",NA,"","",NA
"ACH-001834","ICC10","ICC10_BILIARY_TRACT","",NA,"bile_duct","cholangiocarcinoma","intrahepatic","","Unknown","Academic lab",1,-3.464157435,"Adherent","RPMI 1640 + 10% FBS","7.2","","biliary_tract","","Bile Duct Cancer","Cholangiocarcinoma, intrahepatic",NA,"","",NA
"ACH-001835","ICC106","ICC106_BILIARY_TRACT","",NA,"bile_duct","cholangiocarcinoma","intrahepatic","","Unknown","Academic lab",2,-4.249385491,"Adherent","RPMI + 10% FBS","5.4","","biliary_tract","","Bile Duct Cancer","Cholangiocarcinoma, intrahepatic",NA,"","",3.59773684210526
"ACH-001836","ICC108","ICC108_BILIARY_TRACT","",NA,"bile_duct","cholangiocarcinoma","intrahepatic","","Unknown","Academic lab",2,-4.209542709,"adherent","RPMI + 10% FBS","3.5","","biliary_tract","","Bile Duct Cancer","Cholangiocarcinoma, intrahepatic",NA,"","",5.25365789473684
"ACH-001838","ICC12","ICC12_BILIARY_TRACT","",NA,"bile_duct","cholangiocarcinoma","intrahepatic","","Unknown","Academic lab",2,-3.573977381,"","","11.8","","biliary_tract","","Bile Duct Cancer","Cholangiocarcinoma, intrahepatic",NA,"","",3.59026315789474
"ACH-001839","ICC137","ICC137_BILIARY_TRACT","ICC13",NA,"bile_duct","cholangiocarcinoma","intrahepatic","","Unknown","Academic lab",NA,NA,"","","","","biliary_tract","","Bile Duct Cancer","Cholangiocarcinoma, intrahepatic",NA,"","",NA
"ACH-001841","ICC15","ICC15_BILIARY_TRACT","",NA,"bile_duct","cholangiocarcinoma","extrahepatic","","Unknown","Academic lab",2,-5.461529288,"Adherent","RPMI + 10% FBS","3","","biliary_tract","","Bile Duct Cancer","Cholangiocarcinoma, extrahepatic",NA,"","",NA
"ACH-001842","ICC2","ICC2_BILIARY_TRACT","",NA,"bile_duct","cholangiocarcinoma","intrahepatic","","Unknown","Academic lab",2,-1.876980438,"Adherent","RPMI + 10% FBS","30.9","CVCL_VV27","biliary_tract","","Bile Duct Cancer","Cholangiocarcinoma, intrahepatic",NA,"","",5.59771052631579
"ACH-001843","ICC3","ICC3_BILIARY_TRACT","",NA,"bile_duct","cholangiocarcinoma","intrahepatic","","Unknown","Academic lab",2,-1.458152422,"Adherent","RPMI + 10% FBS","25.5","","biliary_tract","","Bile Duct Cancer","Cholangiocarcinoma, intrahepatic",NA,"","",NA
"ACH-001844","ICC4","ICC4_BILIARY_TRACT","",NA,"bile_duct","cholangiocarcinoma","intrahepatic","","Unknown","Academic lab",NA,NA,"","","","","biliary_tract","","Bile Duct Cancer","Cholangiocarcinoma, intrahepatic",NA,"","",5.39478947368421
"ACH-001845","ICC5","ICC5_BILIARY_TRACT","",NA,"bile_duct","cholangiocarcinoma","intrahepatic","","Unknown","Academic lab",NA,NA,"","","","","biliary_tract","","Bile Duct Cancer","Cholangiocarcinoma, intrahepatic",NA,"","",2.93781578947368
"ACH-001848","ICC8","ICC8_BILIARY_TRACT","",NA,"bile_duct","cholangiocarcinoma","intrahepatic","","Unknown","Academic lab",2,-4.160224349,"","","10.3","","biliary_tract","","Bile Duct Cancer","Cholangiocarcinoma, intrahepatic",NA,"","",3.82373684210526
"ACH-001849","ICC9","ICC9_BILIARY_TRACT","",NA,"bile_duct","cholangiocarcinoma","intrahepatic","","Unknown","Academic lab",2,-3.308420098,"Adherent","RPMI + 10% FBS","9","","biliary_tract","","Bile Duct Cancer","Cholangiocarcinoma, intrahepatic",NA,"","",3.44734210526316
"ACH-001850","G415","G415_BILIARY_TRACT","",NA,"bile_duct","gallbladder_adenocarcinoma","","","Male","RIKEN",NA,NA,"","","","","ascites","Metastasis","Gallbladder Cancer","Adenocarcinoma",NA,"","",2.55342105263158
